,0,1,2,3,4,5,6
1184,protein bar,,,,,,
1185,oil,salad,magazines,,,,
1186,frozen vegetables,tomatoes,parmesan cheese,muffins,spinach,eggs,cake
1187,candy bars,,,,,,
1188,butter,green tea,,,,,
1189,ham,escalope,green tea,,,,
1190,dessert wine,frozen vegetables,tomatoes,parmesan cheese,mineral water,soup,olive oil
1191,herb & pepper,ground beef,spaghetti,french fries,escalope,tomato juice,
1192,grated cheese,whole wheat rice,chocolate,frozen smoothie,,,
1193,meatballs,green tea,,,,,
1194,whole wheat rice,yogurt cake,green tea,,,,
1195,tomato sauce,soup,blueberries,burger sauce,cookies,low fat yogurt,
1196,low fat yogurt,,,,,,
1197,cake,chicken,escalope,cottage cheese,green tea,,
1198,energy bar,french fries,pancakes,,,,
1199,butter,,,,,,
1200,chicken,rice,oatmeal,whole weat flour,green tea,french fries,pancakes
1201,eggs,pasta,mushroom cream sauce,,,,
1202,eggs,,,,,,
1203,eggs,chocolate,,,,,
1204,burgers,mineral water,whole wheat rice,cake,,,
1205,french wine,eggs,french fries,green tea,,,
1206,cookies,,,,,,
1207,cookies,,,,,,
1208,shrimp,frozen vegetables,whole wheat pasta,milk,chicken,whole wheat rice,ham
1209,milk,,,,,,
1210,milk,energy bar,eggs,frozen smoothie,mint,,
1211,hot dogs,,,,,,
1212,frozen vegetables,salmon,,,,,
1213,shrimp,spaghetti,mineral water,chocolate,salmon,eggs,whole wheat rice
1214,eggs,,,,,,
1215,olive oil,hot dogs,,,,,
1216,shrimp,mineral water,meatballs,olive oil,,,
1217,meatballs,,,,,,
1218,spaghetti,mineral water,chili,chocolate,escalope,,
1219,cookies,,,,,,
1220,french fries,frozen smoothie,,,,,
1221,frozen vegetables,mineral water,,,,,
1222,green tea,french fries,escalope,shallot,,,
1223,fresh tuna,spaghetti,mineral water,salmon,,,
1224,olive oil,,,,,,
1225,shrimp,frozen vegetables,mineral water,eggs,chocolate,cottage cheese,low fat yogurt
1226,avocado,frozen smoothie,low fat yogurt,,,,
1227,mineral water,eggs,,,,,
1228,cookies,,,,,,
1229,eggs,french fries,,,,,
1230,ham,spaghetti,eggs,frozen smoothie,magazines,,
1231,burgers,eggs,,,,,
1232,spaghetti,oil,cooking oil,white wine,,,
1233,frozen vegetables,spaghetti,brownies,fresh bread,,,
1234,shrimp,green tea,,,,,
1235,frozen vegetables,ground beef,mineral water,milk,olive oil,pancakes,eggs
1236,corn,,,,,,
1237,burgers,flax seed,eggs,green tea,,,
1238,herb & pepper,spaghetti,cooking oil,toothpaste,,,
1239,cookies,hot dogs,green tea,,,,
1240,cookies,,,,,,
1241,eggs,french fries,brownies,green tea,,,
1242,mineral water,energy bar,chocolate,low fat yogurt,,,
1243,ground beef,whole wheat rice,mint,,,,
1244,milk,,,,,,
1245,pepper,green tea,,,,,
1246,red wine,shrimp,frozen vegetables,eggs,rice,green tea,
1247,fresh bread,white wine,,,,,
1248,chocolate,spaghetti,mineral water,soup,butter,eggs,low fat yogurt
1249,ham,mineral water,spinach,cooking oil,french fries,protein bar,
1250,eggs,,,,,,
1251,chocolate,milk,eggs,oatmeal,french fries,,
1252,eggs,,,,,,
1253,spaghetti,eggs,,,,,
1254,turkey,mineral water,,,,,
1255,low fat yogurt,,,,,,
1256,pepper,chocolate,blueberries,oil,fresh bread,low fat yogurt,
1257,mineral water,soup,muffins,pet food,eggplant,low fat yogurt,
1258,milk,salmon,whole weat flour,chocolate,low fat yogurt,,
1259,olive oil,zucchini,,,,,
1260,salmon,whole wheat rice,,,,,
1261,shrimp,mineral water,pancakes,clothes accessories,champagne,protein bar,
1262,pepper,milk,oil,,,,
1263,burgers,meatballs,eggs,french fries,,,
1264,spaghetti,chocolate,cake,fresh bread,white wine,,
1265,turkey,whole wheat rice,chicken,,,,
1266,pancakes,eggs,champagne,,,,
1267,eggs,eggplant,french fries,,,,
1268,escalope,,,,,,
1269,brownies,,,,,,
1270,flax seed,green tea,fresh bread,,,,
1271,cookies,,,,,,
1272,ham,pepper,spaghetti,strawberries,white wine,,
1273,mineral water,salmon,frozen smoothie,cottage cheese,,,
1274,dessert wine,herb & pepper,tomatoes,yams,mineral water,cake,cooking oil
1275,turkey,ground beef,eggs,burger sauce,chicken,barbecue sauce,cereals
1276,chocolate,mineral water,eggs,light cream,bug spray,burger sauce,chicken
1277,turkey,fresh tuna,shrimp,spaghetti,,,
1278,tomatoes,milk,almonds,,,,
1279,ground beef,spaghetti,mineral water,eggs,chocolate,white wine,low fat yogurt
1280,tomatoes,spaghetti,,,,,
1281,grated cheese,red wine,spaghetti,mineral water,olive oil,vegetables mix,extra dark chocolate
1282,spaghetti,olive oil,flax seed,bug spray,,,
1283,cake,cottage cheese,green tea,,,,
1284,burgers,tomatoes,olive oil,protein bar,shampoo,,
1285,fromage blanc,mushroom cream sauce,low fat yogurt,,,,
1286,fresh bread,,,,,,
1287,ham,mineral water,olive oil,oil,carrots,cottage cheese,fresh bread
1288,cake,,,,,,
1289,burgers,ground beef,spaghetti,mineral water,avocado,french fries,brownies
1290,tomatoes,ground beef,mineral water,muffins,escalope,protein bar,
1291,salmon,,,,,,
1292,shrimp,frozen vegetables,green tea,,,,
1293,spaghetti,milk,olive oil,french fries,escalope,hot dogs,
1294,turkey,green grapes,champagne,strawberries,green tea,,
1295,burgers,,,,,,
1296,herb & pepper,spaghetti,milk,energy bar,eggs,light cream,cooking oil
1297,red wine,spaghetti,olive oil,cake,fresh bread,,
1298,milk,cooking oil,chicken,chocolate,escalope,mushroom cream sauce,cottage cheese
1299,energy bar,,,,,,
1300,mineral water,,,,,,
1301,eggs,,,,,,
1302,frozen vegetables,chocolate,strawberries,,,,
1303,mineral water,milk,olive oil,black tea,light mayo,,
1304,french fries,,,,,,
1305,turkey,milk,energy bar,whole wheat rice,yogurt cake,light mayo,
1306,burgers,cream,chicken,cookies,,,
1307,fresh bread,,,,,,
1308,milk,,,,,,
1309,tomato sauce,oil,clothes accessories,,,,
1310,burgers,butter,,,,,
1311,milk,pancakes,,,,,
1312,grated cheese,spaghetti,,,,,
1313,soup,barbecue sauce,cookies,,,,
1314,turkey,burgers,whole wheat pasta,mineral water,milk,whole wheat rice,cake
1315,turkey,vegetables mix,gums,green tea,,,
1316,soup,fromage blanc,eggs,cake,carrots,frozen smoothie,
1317,dessert wine,burgers,cake,frozen smoothie,toothpaste,,
1318,grated cheese,eggplant,cereals,,,,
1319,energy drink,,,,,,
1320,muffins,,,,,,
1321,energy drink,,,,,,
1322,milk,green tea,,,,,
1323,salmon,green tea,,,,,
1324,eggs,cookies,green tea,,,,
1325,cake,french fries,,,,,
1326,grated cheese,herb & pepper,shrimp,ground beef,spaghetti,mineral water,eggs
1327,soup,chocolate,candy bars,,,,
1328,herb & pepper,shrimp,ground beef,chocolate,milk,olive oil,vegetables mix
1329,milk,chocolate,babies food,,,,
1330,chocolate,spaghetti,mineral water,soup,muffins,eggs,chicken
1331,protein bar,,,,,,
1332,tomatoes,whole weat flour,green tea,fresh bread,white wine,,
1333,green tea,pancakes,,,,,
1334,frozen vegetables,whole wheat pasta,milk,french fries,mushroom cream sauce,,
1335,chocolate bread,hand protein bar,,,,,
1336,grated cheese,pepper,spaghetti,escalope,,,
1337,fresh bread,white wine,,,,,
1338,spaghetti,eggs,eggplant,,,,
1339,milk,butter,pancakes,eggs,,,
1340,turkey,grated cheese,tomatoes,,,,
1341,yogurt cake,,,,,,
1342,burgers,honey,escalope,,,,
1343,oil,,,,,,
1344,frozen vegetables,tomatoes,french fries,escalope,sparkling water,,
1345,shrimp,spaghetti,mineral water,,,,
1346,fresh bread,,,,,,
1347,mineral water,eggs,,,,,
1348,green tea,,,,,,
1349,frozen vegetables,low fat yogurt,,,,,
1350,cookies,,,,,,
1351,escalope,,,,,,
1352,cookies,water spray,,,,,
1353,mashed potato,,,,,,
1354,eggs,cooking oil,low fat yogurt,,,,
1355,cake,,,,,,
1356,mineral water,avocado,,,,,
1357,parmesan cheese,ground beef,spaghetti,blueberries,rice,oil,cooking oil
1358,mineral water,,,,,,
1359,milk,eggs,,,,,
1360,ground beef,spaghetti,mineral water,milk,eggs,strawberries,toothpaste
1361,cake,,,,,,
1362,cookies,,,,,,
1363,burgers,,,,,,
1364,frozen vegetables,spaghetti,milk,cider,french fries,,
1365,turkey,shrimp,frozen vegetables,mineral water,chocolate,olive oil,honey
1366,eggs,,,,,,
1367,turkey,tomatoes,spaghetti,mineral water,,,
1368,burgers,spaghetti,low fat yogurt,green tea,,,
1369,mineral water,eggs,,,,,
1370,mineral water,cookies,,,,,
1371,mineral water,salmon,,,,,
1372,fresh tuna,tomatoes,tomato sauce,spaghetti,chocolate,eggs,honey
1373,mineral water,milk,honey,low fat yogurt,,,
1374,herb & pepper,shrimp,tomatoes,milk,eggs,light cream,cooking oil
1375,pancakes,eggs,french fries,,,,
1376,french fries,brownies,,,,,
1377,mineral water,milk,energy bar,barbecue sauce,chocolate,low fat yogurt,
1378,fresh tuna,tomatoes,mineral water,eggs,honey,low fat yogurt,
1379,soup,milk,bacon,whole wheat rice,cooking oil,chicken,ketchup
1380,chocolate,,,,,,
1381,meatballs,green tea,,,,,
1382,grated cheese,spaghetti,,,,,
1383,grated cheese,pepper,green tea,,,,
1384,turkey,spaghetti,mineral water,oil,mint green tea,energy drink,
1385,chicken,french fries,,,,,
1386,frozen vegetables,whole wheat pasta,ground beef,spaghetti,milk,eggs,green tea
1387,eggs,,,,,,
1388,shrimp,spaghetti,mineral water,cooking oil,escalope,low fat yogurt,
1389,turkey,burgers,ground beef,milk,bacon,eggs,whole wheat rice
1390,olive oil,,,,,,
1391,turkey,tomatoes,eggs,chocolate,,,
1392,burgers,shrimp,pasta,frozen vegetables,mineral water,chocolate,energy drink
1393,burgers,eggs,french fries,energy drink,,,
1394,almonds,eggs,cooking oil,french fries,green tea,,
1395,light mayo,,,,,,
1396,frozen vegetables,whole wheat pasta,carrots,antioxydant juice,french fries,,
1397,tomatoes,mineral water,meatballs,chicken,pancakes,eggs,whole wheat rice
1398,shrimp,frozen vegetables,parmesan cheese,avocado,chicken,eggs,chocolate
1399,red wine,tomatoes,spaghetti,chocolate,chicken,bacon,pancakes
1400,spaghetti,mineral water,soup,cider,chutney,eggs,whole wheat rice
1401,fresh tuna,herb & pepper,spaghetti,low fat yogurt,,,
1402,fresh tuna,eggs,,,,,
1403,chocolate,escalope,pasta,honey,,,
1404,fresh bread,,,,,,
1405,herb & pepper,ground beef,cooking oil,chocolate,french fries,,
1406,turkey,red wine,,,,,
1407,ham,shrimp,spaghetti,cookies,,,
1408,mineral water,soup,bacon,cake,light cream,eggplant,brownies
1409,burgers,spaghetti,eggs,french fries,,,
1410,burgers,spaghetti,,,,,
1411,eggs,french fries,,,,,
1412,ground beef,honey,chicken,pasta,,,
1413,burgers,ground beef,mineral water,chocolate,champagne,,
1414,burgers,ground beef,spaghetti,mineral water,soup,milk,french wine
1415,ham,grated cheese,pepper,pancakes,honey,light cream,bug spray
1416,burgers,mineral water,milk,cake,chocolate,french fries,escalope
1417,shrimp,pasta,,,,,
1418,pancakes,light mayo,,,,,
1419,green tea,,,,,,
1420,burgers,frozen vegetables,tomatoes,spaghetti,mineral water,soup,avocado
1421,herb & pepper,shrimp,frozen vegetables,tomatoes,avocado,chicken,eggs
1422,whole wheat pasta,spaghetti,meatballs,milk,almonds,eggs,french fries
1423,vegetables mix,oil,chocolate,escalope,zucchini,,
1424,herb & pepper,tomato sauce,mineral water,,,,
1425,burgers,ham,ground beef,spaghetti,mineral water,meatballs,milk
1426,eggs,,,,,,
1427,turkey,eggs,frozen smoothie,,,,
1428,burgers,grated cheese,mineral water,milk,eggs,whole wheat rice,fresh bread
1429,tomatoes,mineral water,olive oil,extra dark chocolate,,,
1430,parmesan cheese,mineral water,extra dark chocolate,toothpaste,candy bars,,
1431,gluten free bar,,,,,,
1432,green tea,,,,,,
1433,french fries,champagne,,,,,
1434,escalope,pasta,mushroom cream sauce,,,,
1435,chocolate,asparagus,,,,,
1436,frozen smoothie,,,,,,
1437,ham,energy drink,,,,,
1438,tomatoes,chocolate,soup,pancakes,,,
1439,spaghetti,pancakes,,,,,
1440,turkey,honey,cake,clothes accessories,french fries,green tea,
1441,cottage cheese,,,,,,
1442,frozen vegetables,mineral water,almonds,bacon,eggs,barbecue sauce,
1443,mineral water,honey,hot dogs,,,,
1444,cookies,,,,,,
1445,cookies,,,,,,
1446,spaghetti,olive oil,cake,mushroom cream sauce,,,
1447,french fries,,,,,,
1448,eggs,french fries,energy drink,light mayo,low fat yogurt,,
1449,eggs,,,,,,
1450,avocado,green grapes,,,,,
1451,cookies,,,,,,
1452,chocolate,pancakes,rice,frozen smoothie,low fat yogurt,,
1453,mineral water,chocolate,milk,salmon,pancakes,chicken,
1454,cookies,,,,,,
1455,green tea,,,,,,
1456,french fries,cottage cheese,,,,,
1457,herb & pepper,spaghetti,pancakes,cake,,,
1458,cider,cake,,,,,
1459,shrimp,frozen vegetables,spaghetti,mint,,,
1460,cookies,,,,,,
1461,eggs,french fries,,,,,
1462,tomatoes,blueberries,mint,,,,
1463,tomatoes,,,,,,
1464,pancakes,,,,,,
1465,burgers,mineral water,eggs,cookies,,,
1466,tomatoes,mineral water,,,,,
1467,spaghetti,eggs,,,,,
1468,avocado,almonds,french wine,honey,whole wheat rice,,
1469,turkey,,,,,,
1470,shrimp,spaghetti,chocolate,light mayo,,,
1471,shrimp,butter,fresh bread,,,,
1472,tomatoes,soup,french fries,escalope,hand protein bar,tomato juice,
1473,frozen vegetables,ground beef,mineral water,soup,milk,salmon,pancakes
1474,turkey,spaghetti,mineral water,milk,flax seed,chicken,eggs
1475,cookies,,,,,,
1476,grated cheese,shrimp,french fries,cookies,pancakes,tomato juice,
1477,eggs,low fat yogurt,,,,,
1478,cookies,,,,,,
1479,shrimp,frozen vegetables,tomatoes,spaghetti,,,
1480,parmesan cheese,mineral water,champagne,white wine,low fat yogurt,,
1481,frozen vegetables,,,,,,
1482,nonfat milk,tomato juice,green tea,,,,
1483,frozen vegetables,cake,french fries,,,,
1484,energy bar,cake,,,,,
1485,burgers,tomatoes,mineral water,bramble,,,
1486,mineral water,,,,,,
1487,burgers,strong cheese,champagne,escalope,,,
1488,grated cheese,honey,cake,green tea,,,
1489,mineral water,eggs,low fat yogurt,,,,
1490,burgers,mineral water,avocado,corn,escalope,,
1491,cake,french fries,,,,,
1492,french fries,,,,,,
1493,frozen vegetables,parmesan cheese,mineral water,eggplant,chocolate,frozen smoothie,
1494,mineral water,chocolate,fresh bread,,,,
1495,cookies,,,,,,
1496,tomatoes,mineral water,,,,,
1497,milk,yogurt cake,melons,,,,
1498,olive oil,extra dark chocolate,,,,,
1499,pickles,frozen vegetables,chocolate,sparkling water,green tea,,
1500,burgers,bacon,champagne,light mayo,,,
1501,spaghetti,chicken,eggs,,,,
1502,low fat yogurt,,,,,,
1503,champagne,,,,,,
1504,burgers,ham,tomatoes,spaghetti,milk,eggs,whole wheat rice
1505,champagne,,,,,,
1506,milk,butter,french fries,mushroom cream sauce,brownies,,
1507,herb & pepper,nonfat milk,eggs,cooking oil,,,
1508,spaghetti,,,,,,
1509,candy bars,,,,,,
1510,frozen vegetables,,,,,,
1511,burgers,ham,frozen vegetables,french fries,tomato juice,,
1512,turkey,shrimp,eggs,light cream,cottage cheese,,
1513,frozen vegetables,tomatoes,ground beef,mineral water,milk,eggs,whole weat flour
1514,shrimp,butter,soda,chocolate,tomato juice,,
1515,grated cheese,chocolate,escalope,,,,
1516,french fries,mayonnaise,,,,,
1517,mineral water,,,,,,
1518,chocolate,eggs,low fat yogurt,,,,
1519,salmon,chicken,green tea,,,,
1520,frozen vegetables,milk,fromage blanc,eggs,chocolate,french fries,champagne
1521,ground beef,mineral water,pancakes,,,,
1522,red wine,,,,,,
1523,frozen vegetables,fresh bread,,,,,
1524,mineral water,,,,,,
1525,mineral water,avocado,eggs,cake,low fat yogurt,,
1526,red wine,shrimp,chocolate,salmon,rice,whole weat flour,green tea
1527,turkey,burgers,soup,olive oil,salmon,oatmeal,cottage cheese
1528,french fries,cookies,,,,,
1529,olive oil,rice,sparkling water,,,,
1530,shrimp,ground beef,spaghetti,bug spray,chocolate,strawberries,
1531,tomatoes,green tea,,,,,
1532,ground beef,meatballs,salmon,cake,salt,tomato juice,fresh bread
1533,tomatoes,ground beef,soda,frozen smoothie,mint,,
1534,pepper,spaghetti,mineral water,chili,escalope,mint,
1535,frozen vegetables,parmesan cheese,oil,green beans,tea,frozen smoothie,
1536,spaghetti,whole wheat rice,french fries,cookies,green tea,,
1537,shrimp,eggs,chocolate,mushroom cream sauce,low fat yogurt,,
1538,cookies,green tea,,,,,
1539,ground beef,spaghetti,mineral water,soup,chicken,pancakes,champagne
1540,frozen vegetables,tomatoes,mineral water,soup,milk,vegetables mix,
1541,meatballs,,,,,,
1542,ground beef,,,,,,
1543,grated cheese,mineral water,cooking oil,,,,
1544,tomatoes,milk,muffins,french fries,,,
1545,cookies,low fat yogurt,,,,,
1546,frozen vegetables,mineral water,chocolate,whole wheat rice,,,
1547,grated cheese,tomatoes,spaghetti,mineral water,milk,nonfat milk,light cream
1548,tomatoes,fresh bread,,,,,
1549,eggs,,,,,,
1550,ham,burgers,mineral water,chocolate,butter,salmon,carrots
1551,french fries,,,,,,
1552,ground beef,,,,,,
1553,ground beef,mushroom cream sauce,,,,,
1554,burgers,chocolate,cake,cookies,green tea,,
1555,chocolate,champagne,,,,,
1556,chocolate bread,mushroom cream sauce,salt,,,,
1557,herb & pepper,shrimp,tomatoes,ground beef,spaghetti,olive oil,cooking oil
1558,fresh tuna,grated cheese,meatballs,whole weat flour,green tea,,
1559,eggs,frozen smoothie,,,,,
1560,frozen vegetables,eggs,,,,,
1561,burgers,frozen vegetables,mineral water,soup,meatballs,olive oil,eggs
1562,frozen vegetables,mineral water,chicken,salmon,eggs,pancakes,light mayo
1563,french fries,,,,,,
1564,mineral water,cake,honey,,,,
1565,tomatoes,,,,,,
1566,mineral water,,,,,,
1567,ground beef,spaghetti,olive oil,cookies,pasta,green tea,
1568,eggs,ham,,,,,
1569,chocolate,olive oil,pancakes,eggs,,,
1570,frozen vegetables,almonds,eggs,fresh bread,mint,,
1571,burgers,chocolate,herb & pepper,ground beef,spaghetti,soup,milk
1572,french fries,,,,,,
1573,eggs,chocolate,french fries,,,,
1574,frozen vegetables,tomatoes,ground beef,spaghetti,avocado,olive oil,almonds
1575,frozen vegetables,ground beef,spaghetti,yams,zucchini,,
1576,butter,cake,green tea,mushroom cream sauce,mint,,
1577,ground beef,spaghetti,pancakes,chicken,mint green tea,chocolate,french fries
1578,tomatoes,avocado,eggs,cake,energy drink,,
1579,mineral water,whole wheat rice,low fat yogurt,,,,
1580,avocado,soda,,,,,
1581,spaghetti,vegetables mix,rice,eggplant,green tea,,
1582,grated cheese,red wine,milk,chicken,cider,salmon,rice
1583,turkey,pancakes,,,,,
1584,mineral water,milk,almonds,bacon,eggs,rice,yogurt cake
1585,turkey,grated cheese,shrimp,tomatoes,spaghetti,olive oil,butter
1586,olive oil,french fries,,,,,
1587,soup,,,,,,
1588,spaghetti,mineral water,spinach,eggs,rice,mint green tea,french fries
1589,fresh tuna,chocolate,french fries,,,,
1590,mineral water,soup,eggs,cake,rice,cooking oil,
1591,mineral water,chocolate,olive oil,flax seed,black tea,french wine,fromage blanc
1592,french fries,,,,,,
1593,cooking oil,,,,,,
1594,tomatoes,,,,,,
1595,spaghetti,yams,green grapes,eggs,french fries,,
1596,mineral water,cooking oil,mint,,,,
1597,grated cheese,frozen vegetables,mineral water,eggs,cooking oil,,
1598,soup,milk,salmon,,,,
1599,cookies,,,,,,
1600,fresh bread,,,,,,
1601,strawberries,,,,,,
1602,muffins,,,,,,
1603,chocolate,,,,,,
1604,dessert wine,grated cheese,shrimp,frozen vegetables,ground beef,spaghetti,mineral water
1605,shrimp,frozen vegetables,ground beef,tomato sauce,spaghetti,mineral water,milk
1606,chocolate,shrimp,milk,olive oil,cider,cooking oil,hand protein bar
1607,shrimp,mineral water,almonds,eggs,cake,blueberries,green tea
1608,chocolate,shallot,energy drink,,,,
1609,tomatoes,whole wheat pasta,ground beef,spaghetti,mineral water,olive oil,
1610,mineral water,soup,milk,salmon,cooking oil,ketchup,cereals
1611,red wine,mineral water,soup,avocado,,,
1612,turkey,red wine,ground beef,spaghetti,mineral water,milk,french wine
1613,fresh tuna,herb & pepper,frozen vegetables,tomatoes,spaghetti,mineral water,avocado
1614,shrimp,tomatoes,spaghetti,green beans,,,
1615,burgers,spaghetti,avocado,pancakes,cake,fresh bread,
1616,milk,,,,,,
1617,chocolate,,,,,,
1618,energy bar,eggs,cottage cheese,green tea,,,
1619,pepper,chocolate,french fries,cookies,strawberries,babies food,fresh bread
1620,escalope,,,,,,
1621,chocolate,cake,gums,champagne,protein bar,,
1622,ground beef,chocolate,mint,,,,
1623,burgers,fresh tuna,ham,grated cheese,frozen vegetables,tomatoes,parmesan cheese
1624,fresh tuna,mineral water,cider,eggs,brownies,low fat yogurt,
1625,french fries,cookies,,,,,
1626,chocolate,frozen vegetables,mineral water,cake,french fries,cottage cheese,brownies
1627,burgers,tomatoes,mineral water,eggs,light cream,oil,french fries
1628,spaghetti,french fries,,,,,
1629,mineral water,escalope,,,,,
1630,ground beef,,,,,,
1631,chocolate,spaghetti,mineral water,,,,
1632,frozen vegetables,tomatoes,mineral water,soup,milk,salmon,vegetables mix
1633,grated cheese,ground beef,whole wheat rice,french fries,escalope,,
1634,frozen vegetables,tomatoes,ground beef,mineral water,milk,energy bar,pancakes
1635,chocolate,fresh bread,,,,,
1636,spaghetti,soup,cake,pet food,hot dogs,body spray,strawberries
1637,olive oil,salad,,,,,
1638,mineral water,olive oil,,,,,
1639,ground beef,spaghetti,mineral water,chocolate,escalope,,
1640,burgers,whole wheat pasta,mineral water,milk,pancakes,,
1641,salmon,,,,,,
1642,herb & pepper,mineral water,chocolate,eggs,cereals,escalope,
1643,ground beef,mineral water,milk,,,,
1644,eggs,whole wheat rice,chocolate,,,,
1645,cookies,yogurt cake,,,,,
1646,whole weat flour,green tea,pancakes,melons,,,
1647,herb & pepper,mint,,,,,
1648,salmon,vegetables mix,,,,,
1649,chocolate,yogurt cake,,,,,
1650,pancakes,,,,,,
1651,muffins,chicken,fresh bread,white wine,,,
1652,muffins,blueberries,pet food,green tea,toothpaste,,
1653,chocolate,olive oil,whole wheat rice,cake,green beans,frozen smoothie,cottage cheese
1654,burgers,,,,,,
1655,fresh tuna,frozen vegetables,strong cheese,cottage cheese,tomato juice,low fat yogurt,
1656,shrimp,tomatoes,spaghetti,mineral water,chocolate,chicken,pancakes
1657,mushroom cream sauce,,,,,,
1658,chocolate,cooking oil,,,,,
1659,mineral water,chocolate,frozen smoothie,,,,
1660,french wine,low fat yogurt,,,,,
1661,tomato juice,,,,,,
1662,chili,french fries,green tea,,,,
1663,cake,french fries,,,,,
1664,pepper,eggs,,,,,
1665,muffins,french fries,frozen smoothie,,,,
1666,tomato sauce,,,,,,
1667,shrimp,tomatoes,soup,clothes accessories,green tea,,
1668,honey,french fries,escalope,,,,
1669,tomatoes,ground beef,chicken,green tea,escalope,,
1670,champagne,body spray,,,,,
1671,muffins,french fries,escalope,hot dogs,,,
1672,mint,,,,,,
1673,herb & pepper,frozen vegetables,salmon,carrots,chocolate,french fries,
1674,cookies,,,,,,
1675,cereals,pancakes,yogurt cake,,,,
1676,olive oil,,,,,,
1677,green tea,,,,,,
1678,whole wheat pasta,spaghetti,milk,,,,
1679,mineral water,mint,,,,,
1680,ground beef,pancakes,,,,,
1681,grated cheese,tomatoes,spaghetti,mineral water,milk,ketchup,carrots
1682,burgers,grated cheese,shrimp,whole wheat pasta,olive oil,french fries,frozen smoothie
1683,chocolate,honey,,,,,
1684,muffins,chocolate,,,,,
1685,whole wheat pasta,ground beef,mineral water,avocado,milk,olive oil,chicken
1686,escalope,green tea,,,,,
1687,grated cheese,whole wheat pasta,mineral water,avocado,olive oil,frozen smoothie,light mayo
1688,muffins,french fries,yogurt cake,,,,
1689,soup,milk,brownies,,,,
1690,burgers,avocado,french fries,,,,
1691,eggs,burger sauce,escalope,,,,
1692,spaghetti,pancakes,french fries,,,,
1693,spaghetti,cake,,,,,
1694,ground beef,green beans,french fries,green tea,,,
1695,spaghetti,mineral water,chocolate,milk,chicken,burger sauce,antioxydant juice
1696,cake,hot dogs,,,,,
1697,spaghetti,whole wheat rice,french fries,,,,
1698,spaghetti,salmon,cake,energy drink,,,
1699,shrimp,frozen vegetables,mineral water,pancakes,cake,chocolate,hot dogs
1700,honey,,,,,,
1701,shrimp,whole wheat pasta,pepper,spaghetti,flax seed,black tea,oil
1702,mineral water,,,,,,
1703,pancakes,mint,,,,,
1704,shrimp,spaghetti,vegetables mix,rice,cookies,hot dogs,
1705,spaghetti,milk,frozen smoothie,green tea,,,
1706,ground beef,vegetables mix,honey,tomato juice,,,
1707,burgers,chocolate,tomatoes,whole wheat pasta,spaghetti,avocado,milk
1708,tomatoes,burger sauce,chocolate,green tea,,,
1709,frozen vegetables,whole wheat pasta,milk,pancakes,whole wheat rice,french fries,light mayo
1710,grated cheese,spaghetti,olive oil,,,,
1711,mineral water,milk,chicken,oil,carrots,cereals,champagne
1712,barbecue sauce,french fries,frozen smoothie,,,,
1713,shrimp,honey,ketchup,frozen smoothie,escalope,hot dogs,sparkling water
1714,mineral water,cooking oil,chocolate,,,,
1715,ground beef,soup,avocado,olive oil,cake,chocolate bread,green tea
1716,shrimp,frozen vegetables,spaghetti,,,,
1717,butter,,,,,,
1718,french fries,,,,,,
1719,frozen vegetables,escalope,,,,,
1720,green tea,,,,,,
1721,escalope,,,,,,
1722,herb & pepper,parmesan cheese,frozen smoothie,,,,
1723,tomatoes,chicken,,,,,
1724,ground beef,pepper,spaghetti,milk,vegetables mix,burger sauce,green beans
1725,chocolate,herb & pepper,shrimp,mineral water,chicken,pancakes,eggs
1726,chocolate,,,,,,
1727,light cream,,,,,,
1728,tomatoes,pancakes,,,,,
1729,mineral water,cake,frozen smoothie,cookies,yogurt cake,,
1730,turkey,mineral water,chocolate,yogurt cake,light mayo,,
1731,cookies,,,,,,
1732,mineral water,chicken,oil,chocolate,frozen smoothie,mint,
1733,cookies,,,,,,
1734,meatballs,yogurt cake,,,,,
1735,cooking oil,,,,,,
1736,mineral water,,,,,,
1737,cookies,pasta,,,,,
1738,hot dogs,,,,,,
1739,ground beef,pepper,olive oil,butter,green grapes,cooking oil,
1740,burgers,shrimp,spaghetti,avocado,milk,olive oil,french wine
1741,whole wheat rice,,,,,,
1742,spaghetti,avocado,brownies,,,,
1743,fresh tuna,spaghetti,mineral water,salmon,,,
1744,pancakes,cereals,chocolate,,,,
1745,burgers,tomatoes,pepper,corn,cereals,escalope,low fat yogurt
1746,ground beef,milk,frozen smoothie,,,,
1747,spaghetti,milk,,,,,
1748,shrimp,mineral water,energy drink,salt,magazines,,
1749,grated cheese,spinach,french fries,,,,
1750,spaghetti,mineral water,milk,corn,,,
1751,chocolate,grated cheese,herb & pepper,whole wheat pasta,almonds,oatmeal,green tea
1752,tomatoes,cooking oil,,,,,
1753,whole wheat pasta,strawberries,melons,low fat yogurt,,,
1754,mineral water,energy drink,,,,,
1755,chocolate,cookies,green tea,,,,
1756,grated cheese,pepper,cake,bramble,chocolate,,
1757,mineral water,french fries,,,,,
1758,grated cheese,frozen vegetables,whole wheat pasta,mineral water,milk,honey,oil
1759,cereals,pancakes,,,,,
1760,pickles,shrimp,milk,cake,french fries,brownies,green tea
1761,whole wheat rice,cooking oil,cottage cheese,zucchini,,,
1762,whole wheat pasta,avocado,olive oil,chocolate,french fries,frozen smoothie,champagne
